"","Type","Dur","Delta","Sur","Goal"
"111","fronted",0.125078567,54.2557662,"fronted","info-seeking"
"370","content",0.214402583,-17.80238896,"in-situ","info-seeking"
"48","fronted",0.157437473,18.63526699,"fronted","info-seeking"
"4","fronted",0.138913755,-36.77266899,"fronted","info-seeking"
"40","fronted",0.106528648,79.75300364,"fronted","info-seeking"
"177","fronted",0.176214058,-4.50642166,"fronted","info-seeking"
"157","fronted",0.09545997,11.29291657,"fronted","info-seeking"
"221","fronted",0.086453933,-45.76805894,"fronted","info-seeking"
"110","fronted",0.046102277,40.93888826,"fronted","info-seeking"
"139","fronted",0.142568024,-46.04481978,"fronted","info-seeking"
"113","fronted",0.130873839,22.24790338,"fronted","info-seeking"
"147","fronted",0.0868033,1.3782339,"fronted","info-seeking"
"276","fronted",0.076052583,-36.98026537,"fronted","info-seeking"
"47","fronted",0.1269405,-47.18935089,"fronted","info-seeking"
"18","fronted",0.110750987,55.98867277,"fronted","info-seeking"
"282","fronted",0.185258471,38.42998667,"fronted","info-seeking"
"26","fronted",0.083179715,-17.62004932,"fronted","info-seeking"
"161","fronted",0.142049246,-22.00310921,"fronted","info-seeking"
"217","fronted",0.147732069,-59.03305298,"fronted","info-seeking"
"183","fronted",0.128298609,-35.71348991,"fronted","info-seeking"
"335","fronted",0.106165614,-19.04680953,"fronted","info-seeking"
"342","content",0.200738957,-45.93772233,"in-situ","info-seeking"
"357","content",0.22865847,-83.03193287,"in-situ","info-seeking"
"293","fronted",0.178367522,23.94284131,"fronted","info-seeking"
"31","fronted",0.049444891,3.647265304,"fronted","info-seeking"
"366","content",0.127005972,-74.19444314,"in-situ","info-seeking"
"53","fronted",0.144355016,-12.55016722,"fronted","info-seeking"
"233","fronted",0.108470033,-1.034745734,"fronted","info-seeking"
"299","fronted",0.183164988,-19.62401883,"fronted","info-seeking"
"295","fronted",0.11018066,-1.423741165,"fronted","info-seeking"
"55","fronted",0.049581634,-19.28097371,"fronted","info-seeking"
"226","fronted",0.185873216,-49.93613978,"fronted","info-seeking"
"362","content",0.418076087,105.7835601,"in-situ","info-seeking"
"288","fronted",0.194746246,21.22656997,"fronted","info-seeking"
"29","fronted",0.083272235,-8.683943856,"fronted","info-seeking"
"193","fronted",0.254416824,-24.39285285,"fronted","info-seeking"
"253","fronted",0.177732164,54.58231132,"fronted","info-seeking"
"131","fronted",0.099486531,37.71211458,"fronted","info-seeking"
"324","fronted",0.190316813,-59.6935814,"fronted","info-seeking"
"35","fronted",0.169018598,40.91069465,"fronted","info-seeking"
"182","fronted",0.106350315,20.62658644,"fronted","info-seeking"
"30","fronted",0.179530891,-12.04365985,"fronted","info-seeking"
"211","fronted",0.162938699,-41.37826254,"fronted","info-seeking"
"197","fronted",0.064596405,14.00250663,"fronted","info-seeking"
"367","content",0.194019026,-60.72087213,"in-situ","info-seeking"
"176","fronted",0.065567101,6.399873029,"fronted","info-seeking"
"207","fronted",0.1790001,-3.396688379,"fronted","info-seeking"
"251","fronted",0.029626154,24.62932445,"fronted","info-seeking"
"97","fronted",0.0626885,28.10963909,"fronted","info-seeking"
"62","fronted",0.030064068,74.00144781,"fronted","info-seeking"
"129","fronted",0.104318395,5.141818835,"fronted","info-seeking"
"100","fronted",0.131901503,-3.383416853,"fronted","info-seeking"
"66","fronted",0.157958453,-46.43787373,"fronted","info-seeking"
"51","fronted",0.231155602,-2.73549748,"fronted","info-seeking"
"391","echo",0.288040306,116.8651726,"in-situ","clarification"
"368","content",0.081911632,5.095066914,"in-situ","info-seeking"
"80","fronted",0.141460811,1.715180899,"fronted","info-seeking"
"39","fronted",-0.000502515,22.74632932,"fronted","info-seeking"
"61","fronted",0.123586832,45.43221472,"fronted","info-seeking"
"396","echo",0.252301376,71.95018071,"in-situ","clarification"
"126","fronted",0.171965494,-16.26561572,"fronted","info-seeking"
"185","fronted",0.09818561,66.54456913,"fronted","info-seeking"
"32","fronted",0.126486207,77.24321782,"fronted","info-seeking"
"122","fronted",0.165679618,-29.90346888,"fronted","info-seeking"
"134","fronted",0.136601739,-78.90880156,"fronted","info-seeking"
"262","fronted",0.176390696,69.17283671,"fronted","info-seeking"
"389","echo",0.209955953,206.3235551,"in-situ","clarification"
"312","fronted",0.139768039,57.60250529,"fronted","info-seeking"
"395","echo",0.160257497,106.0166685,"in-situ","clarification"
"203","fronted",0.126592513,-36.44331085,"fronted","info-seeking"
"291","fronted",0.173848332,31.62810561,"fronted","info-seeking"
"266","fronted",0.064931108,-65.16159488,"fronted","info-seeking"
"319","fronted",0.134083172,5.827502962,"fronted","info-seeking"
"375","content",0.324408132,-18.14981074,"in-situ","info-seeking"
"246","fronted",0.129758497,-8.051662574,"fronted","info-seeking"
"160","fronted",0.113526864,-45.70470758,"fronted","info-seeking"
"339","fronted",0.08808613,1.512859718,"fronted","info-seeking"
"13","fronted",0.177981019,17.30650165,"fronted","info-seeking"
"6","fronted",0.081761462,-39.28085879,"fronted","info-seeking"
"270","fronted",0.126111793,15.88957349,"fronted","info-seeking"
"152","fronted",0.159160971,-15.89960764,"fronted","info-seeking"
"374","content",0.177921643,-70.71602811,"in-situ","info-seeking"
"330","fronted",0.14192924,-16.77633131,"fronted","info-seeking"
"341","fronted",0.166710111,34.25652681,"fronted","info-seeking"
"23","fronted",0.062319985,27.71319358,"fronted","info-seeking"
"141","fronted",0.149313985,-72.82460572,"fronted","info-seeking"
"93","fronted",0.15579862,-47.12650405,"fronted","info-seeking"
"204","fronted",0.164905,17.53365586,"fronted","info-seeking"
"77","fronted",0.219629003,31.48670143,"fronted","info-seeking"
"304","fronted",0.145243915,-7.18049708,"fronted","info-seeking"
"238","fronted",0.083040707,-76.23607614,"fronted","info-seeking"
"274","fronted",0.145541167,21.19596912,"fronted","info-seeking"
"303","fronted",0.141926519,33.59227751,"fronted","info-seeking"
"2","fronted",0.118083503,-14.57924207,"fronted","info-seeking"
"107","fronted",0.126395623,26.43687397,"fronted","info-seeking"
"237","fronted",0.154080608,11.81821084,"fronted","info-seeking"
"322","fronted",0.16639067,31.21872006,"fronted","info-seeking"
"168","fronted",0.086378604,-64.76741463,"fronted","info-seeking"
"153","fronted",-0.010496101,-2.595377034,"fronted","info-seeking"
"119","fronted",0.150298028,-39.91506795,"fronted","info-seeking"
"44","fronted",0.095716669,-44.5095383,"fronted","info-seeking"
"138","fronted",0.106349246,-68.65883989,"fronted","info-seeking"
"156","fronted",0.171186081,-59.04157707,"fronted","info-seeking"
"201","fronted",0.10016619,-1.609984375,"fronted","info-seeking"
"105","fronted",0.073634957,70.72956914,"fronted","info-seeking"
"42","fronted",0.201349886,-19.89268,"fronted","info-seeking"
"173","fronted",0.142856337,37.57665119,"fronted","info-seeking"
"290","fronted",0.135671898,0.078884171,"fronted","info-seeking"
"250","fronted",0.039816551,-81.21622147,"fronted","info-seeking"
"82","fronted",0.055281549,2.005174163,"fronted","info-seeking"
"331","fronted",0.143653077,-44.7696925,"fronted","info-seeking"
"20","fronted",0.058035067,-56.39410695,"fronted","info-seeking"
"181","fronted",0.030651871,29.76975981,"fronted","info-seeking"
"360","content",0.347087891,-73.74689195,"in-situ","info-seeking"
"108","fronted",0.103590015,32.14377829,"fronted","info-seeking"
"205","fronted",0.157445966,12.4915245,"fronted","info-seeking"
"381","echo",0.180973996,0.559991119,"in-situ","clarification"
"137","fronted",0.064069741,4.573812102,"fronted","info-seeking"
"21","fronted",0.126420584,-32.99266919,"fronted","info-seeking"
"230","fronted",0.111942853,-18.25217157,"fronted","info-seeking"
"307","fronted",0.088571464,64.17207258,"fronted","info-seeking"
"321","fronted",0.201053807,-78.89590911,"fronted","info-seeking"
"59","fronted",0.212541911,-36.22650714,"fronted","info-seeking"
"10","fronted",0.17701253,-15.32809418,"fronted","info-seeking"
"76","fronted",0.123801845,-62.54380357,"fronted","info-seeking"
"210","fronted",0.151264408,18.0492537,"fronted","info-seeking"
"142","fronted",0.146266715,43.66690098,"fronted","info-seeking"
"218","fronted",0.170914565,24.85394804,"fronted","info-seeking"
"38","fronted",0.110550888,4.692114151,"fronted","info-seeking"
"400","echo",0.299710521,231.545308,"in-situ","clarification"
"106","fronted",0.17721074,14.11910985,"fronted","info-seeking"
"348","content",0.112344897,-46.48026351,"in-situ","info-seeking"
"383","echo",0.279366908,136.3041176,"in-situ","clarification"
"294","fronted",0.014613038,-5.881703981,"fronted","info-seeking"
"387","echo",0.281506493,64.28276327,"in-situ","clarification"
"244","fronted",0.105193551,-38.10532818,"fronted","info-seeking"
"245","fronted",0.130124964,3.95805941,"fronted","info-seeking"
"256","fronted",0.05670551,-0.526697732,"fronted","info-seeking"
"86","fronted",0.043731628,26.82963883,"fronted","info-seeking"
"265","fronted",0.079325745,-6.323070423,"fronted","info-seeking"
"155","fronted",0.125488595,23.31207093,"fronted","info-seeking"
"99","fronted",0.067133892,-24.89320881,"fronted","info-seeking"
"393","echo",0.192325587,43.47828079,"in-situ","clarification"
"198","fronted",0.11692952,-49.37486434,"fronted","info-seeking"
"260","fronted",0.077919052,14.17264921,"fronted","info-seeking"
"323","fronted",0.160971609,-14.87658047,"fronted","info-seeking"
"192","fronted",0.133770086,-46.56161766,"fronted","info-seeking"
"231","fronted",0.014522459,-40.97365356,"fronted","info-seeking"
