Type,Dur,Delta,Sur,Goal
fronted,0.231470009,-38.74474212,fronted,info-seeking
fronted,0.193091494,-13.05330171,fronted,info-seeking
fronted,0.17701253,-15.32809418,fronted,info-seeking
fronted,0.16731548,29.14070412,fronted,info-seeking
fronted,0.116643626,-1.655717385,fronted,info-seeking
fronted,0.041730357,10.35441125,fronted,info-seeking
fronted,0.194835034,0.299892976,fronted,info-seeking
fronted,0.100504296,-0.211075513,fronted,info-seeking
fronted,0.066824928,50.13824236,fronted,info-seeking
fronted,0.170908176,-6.735392996,fronted,info-seeking
fronted,0.111809687,55.4129345,fronted,info-seeking
fronted,0.093456425,-53.92813297,fronted,info-seeking
fronted,0.128963739,22.17222272,fronted,info-seeking
fronted,0.130901193,5.736248463,fronted,info-seeking
fronted,0.104571292,9.021134062,fronted,info-seeking
fronted,0.121103135,14.860485,fronted,info-seeking
fronted,0.152059267,-16.60043368,fronted,info-seeking
fronted,0.130520207,-10.5678175,fronted,info-seeking
fronted,0.037957868,-35.01593057,fronted,info-seeking
fronted,0.087278318,-36.91420772,fronted,info-seeking
fronted,0.163112815,12.14550771,fronted,info-seeking
fronted,0.177981019,17.30650165,fronted,info-seeking
fronted,0.138208608,3.208924924,fronted,info-seeking
fronted,0.049537058,34.21681393,fronted,info-seeking
fronted,0.090870561,74.44773528,fronted,info-seeking
fronted,0.159038048,-16.19761952,fronted,info-seeking
fronted,0.096598159,-81.05330092,fronted,info-seeking
fronted,0.119732069,37.19436575,fronted,info-seeking
fronted,0.181066507,-23.98004762,fronted,info-seeking
fronted,0.104246469,-23.22410929,fronted,info-seeking
fronted,0.039257301,37.901815,fronted,info-seeking
fronted,0.102369043,-8.84009769,fronted,info-seeking
fronted,0.121481835,-42.22662872,fronted,info-seeking
fronted,0.151555253,7.785552436,fronted,info-seeking
fronted,0.09473143,-3.636284831,fronted,info-seeking
fronted,0.173013505,1.523810307,fronted,info-seeking
fronted,0.19825793,15.06172193,fronted,info-seeking
fronted,0.126198703,-11.90380994,fronted,info-seeking
fronted,0.117788573,24.30404789,fronted,info-seeking
fronted,0.008312091,-6.546925624,fronted,info-seeking
fronted,0.177512559,13.15334879,fronted,info-seeking
fronted,0.104270897,40.44405184,fronted,info-seeking
fronted,0.078747322,16.84174143,fronted,info-seeking
fronted,0.072837077,-10.30829172,fronted,info-seeking
fronted,0.112663392,42.29785089,fronted,info-seeking
fronted,0.149381786,36.75794353,fronted,info-seeking
fronted,0.120055093,20.88031416,fronted,info-seeking
fronted,0.025308145,9.834075603,fronted,info-seeking
fronted,0.10272953,-21.0801629,fronted,info-seeking
fronted,0.209547036,49.85469142,fronted,info-seeking
fronted,0.056927199,-20.09398176,fronted,info-seeking
fronted,0.077781898,79.343583,fronted,info-seeking
fronted,0.110750987,55.98867277,fronted,info-seeking
fronted,0.123901787,-7.089598835,fronted,info-seeking
fronted,0.136515478,-35.29577006,fronted,info-seeking
fronted,0.114338658,-24.02307505,fronted,info-seeking
fronted,0.143576884,10.48160951,fronted,info-seeking
fronted,0.109699399,-7.481685759,fronted,info-seeking
fronted,0.169047134,-11.0791674,fronted,info-seeking
fronted,0.118969972,-32.62746381,fronted,info-seeking
fronted,0.067901635,-0.288035634,fronted,info-seeking
fronted,0.10268217,-26.68052837,fronted,info-seeking
fronted,0.084211358,-58.17978807,fronted,info-seeking
fronted,0.177033839,-12.24504956,fronted,info-seeking
fronted,0.111296608,34.10015117,fronted,info-seeking
fronted,0.095797963,-19.20530293,fronted,info-seeking
fronted,0.168151442,23.00518091,fronted,info-seeking
fronted,0.058035067,-56.39410695,fronted,info-seeking
fronted,0.171763023,-0.663784711,fronted,info-seeking
fronted,0.1091233,19.84620418,fronted,info-seeking
fronted,0.111455134,12.06076658,fronted,info-seeking
fronted,0.1144546,5.087806853,fronted,info-seeking
fronted,0.136419119,-21.53674803,fronted,info-seeking
fronted,0.106064011,-28.99203529,fronted,info-seeking
fronted,0.179206552,-35.2139977,fronted,info-seeking
fronted,0.182735449,5.514823933,fronted,info-seeking
fronted,0.160354638,-32.47963373,fronted,info-seeking
fronted,0.127818996,-16.18072802,fronted,info-seeking
fronted,0.062297895,-7.817019341,fronted,info-seeking
fronted,0.029751597,67.09145305,fronted,info-seeking
fronted,0.110829724,-21.93784002,fronted,info-seeking
fronted,0.100839015,9.714765344,fronted,info-seeking
fronted,0.132374862,4.099163374,fronted,info-seeking
fronted,0.126420584,-32.99266919,fronted,info-seeking
fronted,0.189803429,-1.225468199,fronted,info-seeking
fronted,0.09576756,52.84744699,fronted,info-seeking
fronted,0.143581184,17.42400572,fronted,info-seeking
fronted,0.104639769,2.789017628,fronted,info-seeking
fronted,0.141271108,-13.75290214,fronted,info-seeking
fronted,0.169395656,-71.92418004,fronted,info-seeking
fronted,0.12289872,41.67465789,fronted,info-seeking
fronted,0.150452477,-50.78500857,fronted,info-seeking
fronted,0.062319985,27.71319358,fronted,info-seeking
fronted,0.0960245,69.41873098,fronted,info-seeking
fronted,0.111584077,-50.18763003,fronted,info-seeking
fronted,0.175789119,26.35188155,fronted,info-seeking
fronted,0.050712577,-8.034806899,fronted,info-seeking
fronted,0.125827801,-54.76253014,fronted,info-seeking
fronted,0.174591432,-52.71224722,fronted,info-seeking
fronted,0.118806124,-55.81098842,fronted,info-seeking
fronted,0.083179715,-17.62004932,fronted,info-seeking
fronted,0.199731365,-50.82478974,fronted,info-seeking
fronted,0.033871571,25.85717374,fronted,info-seeking
fronted,0.112317215,76.23217934,fronted,info-seeking
fronted,0.076978386,-44.59211313,fronted,info-seeking
fronted,0.111482783,29.41799225,fronted,info-seeking
fronted,0.131239808,28.75106094,fronted,info-seeking
fronted,0.207483659,13.16835936,fronted,info-seeking
fronted,0.182426556,-34.65209329,fronted,info-seeking
fronted,0.12412484,-2.942869109,fronted,info-seeking
fronted,0.083272235,-8.683943856,fronted,info-seeking
fronted,0.20793377,21.40087228,fronted,info-seeking
fronted,0.057461672,-11.96727483,fronted,info-seeking
fronted,0.045704194,36.16825431,fronted,info-seeking
fronted,0.179530891,-12.04365985,fronted,info-seeking
fronted,0.090013292,38.86995365,fronted,info-seeking
fronted,0.179523534,-36.10750463,fronted,info-seeking
fronted,0.137162801,-43.63342051,fronted,info-seeking
fronted,0.050682767,116.9308658,fronted,info-seeking
fronted,0.082383937,-13.55175493,fronted,info-seeking
fronted,0.159984319,11.95641071,fronted,info-seeking
fronted,0.134909069,24.02556888,fronted,info-seeking
fronted,0.172290227,-15.93897907,fronted,info-seeking
fronted,0.100662074,19.7554127,fronted,info-seeking
fronted,0.193827721,14.47970955,fronted,info-seeking
fronted,0.250286503,-6.364731733,fronted,info-seeking
fronted,0.049444891,3.647265304,fronted,info-seeking
fronted,0.011283313,0.102928132,fronted,info-seeking
fronted,0.126486207,77.24321782,fronted,info-seeking
fronted,0.090133164,-25.12638267,fronted,info-seeking
fronted,0.130168003,-37.77762795,fronted,info-seeking
fronted,0.049443149,2.666134219,fronted,info-seeking
fronted,0.091886789,12.393484,fronted,info-seeking
fronted,0.107878501,16.88961856,fronted,info-seeking
fronted,0.211969379,-15.03236914,fronted,info-seeking
fronted,0.077070222,-36.61224757,fronted,info-seeking
fronted,0.128245304,46.37787138,fronted,info-seeking
fronted,0.191942094,-11.1543503,fronted,info-seeking
fronted,0.137769673,-29.55594152,fronted,info-seeking
fronted,0.129184056,-7.110258944,fronted,info-seeking
fronted,0.071406693,-5.71538564,fronted,info-seeking
fronted,0.169018598,40.91069465,fronted,info-seeking
fronted,0.147537103,4.340892473,fronted,info-seeking
fronted,0.043139008,28.21638107,fronted,info-seeking
fronted,0.059272564,-16.49231833,fronted,info-seeking
fronted,0.063128374,8.967751139,fronted,info-seeking
fronted,0.04322316,-10.26386321,fronted,info-seeking
fronted,0.110550888,4.692114151,fronted,info-seeking
fronted,0.156422537,-30.62074883,fronted,info-seeking
fronted,0.104590662,-45.4400559,fronted,info-seeking
fronted,0.054166039,72.56172949,fronted,info-seeking
fronted,-0.000502515,22.74632932,fronted,info-seeking
fronted,0.226243928,-43.31649959,fronted,info-seeking
fronted,0.112749809,-20.48301439,fronted,info-seeking
fronted,0.098778816,-40.96965531,fronted,info-seeking
fronted,0.106528648,79.75300364,fronted,info-seeking
fronted,0.18634454,48.13391281,fronted,info-seeking
fronted,0.08733663,-8.139942917,fronted,info-seeking
fronted,0.154660752,20.69472662,fronted,info-seeking
fronted,0.099928869,-13.4619431,fronted,info-seeking
fronted,0.080951062,-15.67025986,fronted,info-seeking
fronted,0.065168873,-26.81246293,fronted,info-seeking
fronted,0.201349886,-19.89268,fronted,info-seeking
fronted,0.055775133,60.20848435,fronted,info-seeking
fronted,0.158288206,-0.609073321,fronted,info-seeking
fronted,0.182706168,5.571849761,fronted,info-seeking
fronted,0.05557611,10.01085925,fronted,info-seeking
fronted,0.055940714,45.28240926,fronted,info-seeking
fronted,0.136996837,-17.09057665,fronted,info-seeking
fronted,0.092184902,-34.0860261,fronted,info-seeking
fronted,0.149687598,61.09278203,fronted,info-seeking
fronted,0.131971211,-14.41876181,fronted,info-seeking
fronted,0.131412035,-24.47465107,fronted,info-seeking
fronted,0.144511975,-42.78150806,fronted,info-seeking
fronted,0.095716669,-44.5095383,fronted,info-seeking
fronted,0.051202632,-19.15631858,fronted,info-seeking
fronted,0.138405357,23.36265593,fronted,info-seeking
fronted,0.114032763,40.90810879,fronted,info-seeking
fronted,0.03630199,26.55888873,fronted,info-seeking
fronted,0.139987358,-11.65400897,fronted,info-seeking
fronted,0.246896592,3.449578395,fronted,info-seeking
fronted,0.101818842,-23.81582293,fronted,info-seeking
fronted,0.169780357,-24.26604262,fronted,info-seeking
fronted,0.162608484,32.87498582,fronted,info-seeking
fronted,0.060322821,-34.90952458,fronted,info-seeking
fronted,-0.012824776,71.06638689,fronted,info-seeking
fronted,0.172277527,-1.903640735,fronted,info-seeking
fronted,0.069533188,8.971088443,fronted,info-seeking
fronted,0.131554254,-25.02619405,fronted,info-seeking
fronted,0.118829136,-19.17111484,fronted,info-seeking
fronted,0.072316905,-45.66174698,fronted,info-seeking
fronted,0.112266856,-5.207039952,fronted,info-seeking
fronted,0.159140453,16.26391375,fronted,info-seeking
fronted,0.141425171,12.88660305,fronted,info-seeking
fronted,0.094082151,-26.56038934,fronted,info-seeking
fronted,0.240580079,-26.81310674,fronted,info-seeking
fronted,0.072060141,-16.59600185,fronted,info-seeking
fronted,0.185351717,54.68489809,fronted,info-seeking
fronted,0.129066697,-39.25112273,fronted,info-seeking
fronted,0.131814781,-5.068851666,fronted,info-seeking
fronted,0.043556463,69.17823128,fronted,info-seeking
fronted,0.112825084,-2.283743888,fronted,info-seeking
fronted,0.1269405,-47.18935089,fronted,info-seeking
fronted,0.092581985,-22.39513582,fronted,info-seeking
fronted,0.157437473,18.63526699,fronted,info-seeking
fronted,0.133629573,-12.08012673,fronted,info-seeking
fronted,0.068539666,-18.7247927,fronted,info-seeking
fronted,0.09076821,-10.94986251,fronted,info-seeking
fronted,0.182277066,4.546344865,fronted,info-seeking
fronted,0.077692052,58.33935001,fronted,info-seeking
fronted,0.188632968,-1.84105216,fronted,info-seeking
fronted,0.141671327,39.87190673,fronted,info-seeking
fronted,0.057541415,23.81810223,fronted,info-seeking
fronted,0.231155602,-2.73549748,fronted,info-seeking
fronted,0.219448096,-53.3626836,fronted,info-seeking
fronted,0.062220545,-17.2708585,fronted,info-seeking
fronted,0.164518533,-16.15621396,fronted,info-seeking
fronted,0.060544061,3.000236971,fronted,info-seeking
fronted,0.119105623,47.69819584,fronted,info-seeking
fronted,0.082412408,83.11569993,fronted,info-seeking
fronted,0.069597051,56.52268122,fronted,info-seeking
fronted,0.153785384,-3.431503295,fronted,info-seeking
fronted,0.149760763,-61.33974827,fronted,info-seeking
fronted,0.144355016,-12.55016722,fronted,info-seeking
fronted,-0.015980055,4.500305471,fronted,info-seeking
fronted,0.108421024,31.46104566,fronted,info-seeking
fronted,0.090698578,35.65297475,fronted,info-seeking
fronted,0.132310117,25.72851616,fronted,info-seeking
fronted,0.143875512,-48.45331784,fronted,info-seeking
fronted,0.047686524,31.62619271,fronted,info-seeking
fronted,0.141116466,-14.61117175,fronted,info-seeking
fronted,0.118830827,7.553652773,fronted,info-seeking
fronted,0.102328699,3.977528678,fronted,info-seeking
fronted,0.138733466,16.59152899,fronted,info-seeking
fronted,0.026056588,2.198354058,fronted,info-seeking
fronted,0.20351988,-58.16310891,fronted,info-seeking
fronted,0.01792555,27.59006202,fronted,info-seeking
fronted,0.13518202,15.08832491,fronted,info-seeking
fronted,0.057509347,-8.158019548,fronted,info-seeking
fronted,0.217127216,5.532592846,fronted,info-seeking
fronted,0.07379813,6.099528571,fronted,info-seeking
fronted,0.076973417,9.20226419,fronted,info-seeking
fronted,0.169872492,59.84960798,fronted,info-seeking
fronted,0.160136128,-6.495661366,fronted,info-seeking
fronted,0.110481878,7.313320871,fronted,info-seeking
fronted,0.056562438,42.99615254,fronted,info-seeking
fronted,0.150006489,38.92238818,fronted,info-seeking
fronted,0.123032155,42.17141531,fronted,info-seeking
fronted,0.049581634,-19.28097371,fronted,info-seeking
fronted,0.160055811,72.74971822,fronted,info-seeking
fronted,0.07472945,3.697490528,fronted,info-seeking
fronted,0.084748457,67.91154684,fronted,info-seeking
fronted,0.185394751,-46.87050565,fronted,info-seeking
fronted,0.153379854,2.066704555,fronted,info-seeking
fronted,0.073392694,45.90447712,fronted,info-seeking
fronted,0.11474498,-24.19556882,fronted,info-seeking
fronted,0.05804699,-25.53136352,fronted,info-seeking
fronted,0.157726529,-32.16087714,fronted,info-seeking
fronted,0.212541911,-36.22650714,fronted,info-seeking
fronted,0.073846178,-14.27595729,fronted,info-seeking
fronted,0.14806851,13.13183985,fronted,info-seeking
fronted,0.131196993,-70.53169066,fronted,info-seeking
fronted,0.036213837,8.879819414,fronted,info-seeking
fronted,0.123586832,45.43221472,fronted,info-seeking
fronted,0.030064068,74.00144781,fronted,info-seeking
fronted,0.164109477,47.73306802,fronted,info-seeking
fronted,0.07038014,28.31344842,fronted,info-seeking
fronted,0.122807422,-60.27685117,fronted,info-seeking
fronted,0.161616114,-20.13844532,fronted,info-seeking
fronted,0.185977372,-11.23982293,fronted,info-seeking
fronted,0.111932977,26.41392042,fronted,info-seeking
fronted,0.109648561,-2.451273875,fronted,info-seeking
fronted,0.117639742,-43.57968157,fronted,info-seeking
fronted,0.081915089,61.40449217,fronted,info-seeking
fronted,0.136325477,33.82886374,fronted,info-seeking
fronted,0.144104836,9.787676702,fronted,info-seeking
fronted,0.100117107,44.76991724,fronted,info-seeking
fronted,0.157958453,-46.43787373,fronted,info-seeking
fronted,0.056902324,24.89060738,fronted,info-seeking
fronted,0.116857602,-17.33487886,fronted,info-seeking
fronted,0.145616818,25.70840368,fronted,info-seeking
fronted,0.209217614,-0.851408061,fronted,info-seeking
fronted,0.147393171,23.89683465,fronted,info-seeking
fronted,0.011530094,48.95805097,fronted,info-seeking
fronted,0.148297538,1.578236128,fronted,info-seeking
fronted,0.153686628,37.61601418,fronted,info-seeking
fronted,0.09889156,-41.07502708,fronted,info-seeking
fronted,0.105475049,-24.42252187,fronted,info-seeking
fronted,0.072807585,55.51091927,fronted,info-seeking
fronted,0.131682706,14.78017264,fronted,info-seeking
fronted,0.082926562,-71.8876572,fronted,info-seeking
fronted,0.188734765,-47.33904149,fronted,info-seeking
fronted,0.125129879,-5.84397381,fronted,info-seeking
fronted,0.148491193,32.20182278,fronted,info-seeking
fronted,0.088995597,-2.316152062,fronted,info-seeking
fronted,0.109971312,23.58387188,fronted,info-seeking
fronted,0.059863419,35.52731192,fronted,info-seeking
fronted,0.008285449,60.92716013,fronted,info-seeking
fronted,0.113925316,3.316380143,fronted,info-seeking
fronted,0.147496898,-0.536084039,fronted,info-seeking
fronted,0.174880661,-61.22238225,fronted,info-seeking
fronted,0.133146306,4.861346999,fronted,info-seeking
fronted,0.129053502,-19.08055582,fronted,info-seeking
fronted,0.032327234,-33.42620364,fronted,info-seeking
fronted,0.177310891,-5.099327789,fronted,info-seeking
fronted,0.166171319,37.52271944,fronted,info-seeking
fronted,0.156628523,-69.76610336,fronted,info-seeking
fronted,0.096071799,-13.92350937,fronted,info-seeking
fronted,0.080475265,5.478797669,fronted,info-seeking
fronted,0.172205152,-30.5438452,fronted,info-seeking
fronted,0.11239892,13.22899288,fronted,info-seeking
fronted,0.120023424,15.99449681,fronted,info-seeking
fronted,0.06352516,0.139720322,fronted,info-seeking
fronted,0.087802583,-86.64407,fronted,info-seeking
fronted,0.116083481,93.04590514,fronted,info-seeking
fronted,0.120568248,-6.005147203,fronted,info-seeking
fronted,0.08442941,24.54720351,fronted,info-seeking
fronted,0.199151903,11.08385563,fronted,info-seeking
fronted,0.12815524,37.8697968,fronted,info-seeking
fronted,0.08689215,30.48529895,fronted,info-seeking
fronted,0.148186797,-6.165445678,fronted,info-seeking
fronted,0.121110107,14.8079869,fronted,info-seeking
fronted,0.129637679,-32.40595096,fronted,info-seeking
fronted,0.149506413,31.88590232,fronted,info-seeking
fronted,0.172998863,-15.12772783,fronted,info-seeking
fronted,0.111853184,87.52806834,fronted,info-seeking
fronted,0.150987305,-57.57717352,fronted,info-seeking
fronted,0.084414127,-15.23293914,fronted,info-seeking
fronted,0.040554168,30.76068743,fronted,info-seeking
fronted,0.117746139,19.51536532,fronted,info-seeking
fronted,0.106500892,-19.70948401,fronted,info-seeking
fronted,0.132436013,-34.23846258,fronted,info-seeking
fronted,0.090904855,6.471837724,fronted,info-seeking
fronted,0.110706664,0.807812868,fronted,info-seeking
fronted,0.123801845,-62.54380357,fronted,info-seeking
fronted,0.066981048,2.550657653,fronted,info-seeking
fronted,0.167533039,8.103989433,fronted,info-seeking
fronted,0.049647492,7.550915667,fronted,info-seeking
fronted,0.112564968,-36.31584214,fronted,info-seeking
fronted,0.108673737,18.302559,fronted,info-seeking
fronted,0.137483931,50.49382604,fronted,info-seeking
fronted,0.12553351,17.59281169,fronted,info-seeking
fronted,0.112008141,-39.18994454,fronted,info-seeking
fronted,0.224611379,-14.22191515,fronted,info-seeking
fronted,0.147607063,13.66421688,fronted,info-seeking
fronted,0.097876758,-21.76290029,fronted,info-seeking
fronted,0.152426657,-75.64825494,fronted,info-seeking
fronted,0.153016543,32.86072656,fronted,info-seeking
fronted,0.158511721,-28.27050612,fronted,info-seeking
fronted,0.114270456,-19.14156491,fronted,info-seeking
fronted,0.188569743,54.96456105,fronted,info-seeking
fronted,0.08505483,-26.29672352,fronted,info-seeking
fronted,0.219629003,31.48670143,fronted,info-seeking
fronted,0.155490601,-43.65223796,fronted,info-seeking
fronted,0.162115933,-11.32886231,fronted,info-seeking
fronted,0.182264398,-1.305656965,fronted,info-seeking
fronted,0.182608602,-40.36933356,fronted,info-seeking
fronted,0.114057533,-21.32423143,fronted,info-seeking
fronted,0.127212661,0.289362196,fronted,info-seeking
fronted,0.130483726,25.24290343,fronted,info-seeking
fronted,0.246625412,-57.55923278,fronted,info-seeking
fronted,0.188106571,-11.15805567,fronted,info-seeking
fronted,0.121593679,28.300321,fronted,info-seeking
fronted,0.167968112,-17.90192943,fronted,info-seeking
fronted,0.158002956,9.426029763,fronted,info-seeking
fronted,0.066451283,18.87669261,fronted,info-seeking
fronted,0.110566108,10.87225156,fronted,info-seeking
fronted,0.16662436,24.62086177,fronted,info-seeking
fronted,0.144858992,-3.059012822,fronted,info-seeking
fronted,0.138242043,-13.43826897,fronted,info-seeking
fronted,0.174941794,-92.96684812,fronted,info-seeking
fronted,0.168628526,-1.997151639,fronted,info-seeking
fronted,0.120306895,16.66707467,fronted,info-seeking
fronted,0.081053283,20.41664339,fronted,info-seeking
fronted,0.114557752,-18.48942168,fronted,info-seeking
fronted,0.11688039,64.79568791,fronted,info-seeking
fronted,0.100135658,11.53536087,fronted,info-seeking
fronted,0.081716845,5.824047058,fronted,info-seeking
fronted,0.117981349,46.70182337,fronted,info-seeking
fronted,0.104747143,-24.3105771,fronted,info-seeking
fronted,0.180236257,-14.74605153,fronted,info-seeking
fronted,0.114417564,86.8388647,fronted,info-seeking
fronted,0.141460811,1.715180899,fronted,info-seeking
fronted,0.098848526,59.58998438,fronted,info-seeking
fronted,0.115184332,-49.99548423,fronted,info-seeking
fronted,0.128670889,-5.477833315,fronted,info-seeking
fronted,0.155333342,14.81713104,fronted,info-seeking
fronted,0.16387281,12.02101097,fronted,info-seeking
fronted,0.115597164,-34.55435572,fronted,info-seeking
fronted,0.055281549,2.005174163,fronted,info-seeking
fronted,0.16780082,-37.11499996,fronted,info-seeking
fronted,0.134221043,26.74136894,fronted,info-seeking
fronted,0.096623569,40.01371212,fronted,info-seeking
fronted,0.165562093,-78.05041824,fronted,info-seeking
fronted,0.105569073,45.39719619,fronted,info-seeking
fronted,0.13325197,-42.95171266,fronted,info-seeking
fronted,0.155219088,17.54048338,fronted,info-seeking
fronted,0.075700654,24.85787725,fronted,info-seeking
fronted,0.081744573,-5.8121934,fronted,info-seeking
fronted,0.076630065,-21.69399928,fronted,info-seeking
fronted,0.058437391,7.215413909,fronted,info-seeking
fronted,0.142266427,16.97150011,fronted,info-seeking
fronted,0.136740111,32.8269064,fronted,info-seeking
fronted,0.124670396,-71.89172038,fronted,info-seeking
fronted,0.103523767,-57.05389663,fronted,info-seeking
fronted,0.12638569,52.34275516,fronted,info-seeking
fronted,0.133461768,38.65298721,fronted,info-seeking
fronted,0.147717049,16.84558983,fronted,info-seeking
fronted,0.043731628,26.82963883,fronted,info-seeking
fronted,0.235505207,34.03519613,fronted,info-seeking
fronted,0.150236701,-93.60087302,fronted,info-seeking
fronted,0.11059515,40.92340959,fronted,info-seeking
fronted,0.176343298,-15.98203262,fronted,info-seeking
fronted,0.100690741,9.544621555,fronted,info-seeking
fronted,0.218823839,-9.210512998,fronted,info-seeking
fronted,0.068046456,32.42245277,fronted,info-seeking
fronted,0.204525468,-11.11232869,fronted,info-seeking
fronted,0.223841298,19.81400251,fronted,info-seeking
fronted,0.161255783,-12.61812175,fronted,info-seeking
fronted,0.121925201,-37.66315791,fronted,info-seeking
fronted,0.143235438,44.48105552,fronted,info-seeking
fronted,0.142454455,27.74718835,fronted,info-seeking
fronted,0.091470153,62.82516569,fronted,info-seeking
fronted,0.171980784,3.642330393,fronted,info-seeking
fronted,0.116491037,41.44869663,fronted,info-seeking
fronted,0.08151192,71.78429944,fronted,info-seeking
fronted,0.044217499,-8.722719519,fronted,info-seeking
fronted,0.108356999,-45.87344858,fronted,info-seeking
fronted,0.039971978,-7.21986135,fronted,info-seeking
fronted,0.100906817,-6.316991016,fronted,info-seeking
fronted,0.120145546,6.728850064,fronted,info-seeking
fronted,0.217056215,62.39866013,fronted,info-seeking
fronted,0.183091453,-10.31584071,fronted,info-seeking
fronted,0.13370334,14.62381366,fronted,info-seeking
fronted,0.08845834,-6.803653553,fronted,info-seeking
fronted,0.136649085,2.047692322,fronted,info-seeking
fronted,0.092367223,12.52107794,fronted,info-seeking
fronted,0.162281752,48.69757827,fronted,info-seeking
fronted,0.133510966,5.645790926,fronted,info-seeking
fronted,0.105058074,26.74632066,fronted,info-seeking
fronted,0.132469118,29.10127629,fronted,info-seeking
fronted,0.108517421,33.94949782,fronted,info-seeking
fronted,0.158203486,-19.17131528,fronted,info-seeking
fronted,0.090242739,59.35143988,fronted,info-seeking
fronted,0.128106657,-12.27110834,fronted,info-seeking
fronted,0.12429395,-2.455295589,fronted,info-seeking
fronted,0.204568724,51.40275487,fronted,info-seeking
fronted,0.143644978,47.48007828,fronted,info-seeking
fronted,0.201941438,-37.56342646,fronted,info-seeking
fronted,0.205859479,-29.82553649,fronted,info-seeking
fronted,0.15579862,-47.12650405,fronted,info-seeking
fronted,0.127543024,7.804942184,fronted,info-seeking
fronted,0.10614243,7.198296649,fronted,info-seeking
fronted,0.065437468,14.30668025,fronted,info-seeking
fronted,0.095303312,21.01446039,fronted,info-seeking
fronted,0.076874868,-20.15223812,fronted,info-seeking
fronted,0.154503237,-34.12851281,fronted,info-seeking
fronted,0.128020836,37.94512856,fronted,info-seeking
fronted,0.0626885,28.10963909,fronted,info-seeking
fronted,0.132996508,-52.51602342,fronted,info-seeking
fronted,0.203350625,-2.075850695,fronted,info-seeking
fronted,0.169252437,-30.64159473,fronted,info-seeking
fronted,0.08864794,-72.54858609,fronted,info-seeking
fronted,0.149595489,6.673195729,fronted,info-seeking
fronted,0.10564718,-1.507420715,fronted,info-seeking
fronted,0.121258665,-2.155124295,fronted,info-seeking
fronted,0.14353345,9.028668377,fronted,info-seeking
fronted,0.131237316,32.79702477,fronted,info-seeking
fronted,0.100582556,8.652145074,fronted,info-seeking
fronted,0.115875914,-20.67099978,fronted,info-seeking
fronted,0.067133892,-24.89320881,fronted,info-seeking
fronted,0.131901503,-3.383416853,fronted,info-seeking
fronted,0.163479033,12.37695668,fronted,info-seeking
fronted,0.121322151,-35.76875774,fronted,info-seeking
fronted,0.088453187,-5.256396004,fronted,info-seeking
fronted,0.002993834,35.82201297,fronted,info-seeking
fronted,0.14450256,-2.544324426,fronted,info-seeking
fronted,0.142490796,-23.59551416,fronted,info-seeking
fronted,0.080589481,-8.525200402,fronted,info-seeking
fronted,0.050324694,41.07933236,fronted,info-seeking
fronted,0.148772406,20.93907148,fronted,info-seeking
fronted,0.079249081,45.43223183,fronted,info-seeking
