"","Type","Dur","Delta","Sur","Goal"
"91","fronted",0.076406102,6.551481079,"fronted","info-seeking"
"134","fronted",0.140689836,23.52046585,"fronted","info-seeking"
"74","fronted",0.209850719,8.075316105,"fronted","info-seeking"
"10","fronted",0.143581184,17.42400572,"fronted","info-seeking"
"124","fronted",0.094817813,16.51495837,"fronted","info-seeking"
"190","echo",0.252349114,162.7265254,"in-situ","clarification"
"53","fronted",0.221705721,4.923847177,"fronted","info-seeking"
"54","fronted",0.195793295,-26.56761623,"fronted","info-seeking"
"21","fronted",0.160055811,72.74971822,"fronted","info-seeking"
"94","fronted",0.092149392,40.00807214,"fronted","info-seeking"
"113","fronted",0.100487456,57.51173867,"fronted","info-seeking"
"154","fronted",0.117966388,7.187357019,"fronted","info-seeking"
"28","fronted",0.109971312,23.58387188,"fronted","info-seeking"
"137","fronted",0.140772873,23.45817542,"fronted","info-seeking"
"143","fronted",0.131577607,1.175892552,"fronted","info-seeking"
"120","fronted",0.175577915,-55.36699152,"fronted","info-seeking"
"73","fronted",0.144609957,24.21321563,"fronted","info-seeking"
"116","fronted",0.003833755,-25.3169889,"fronted","info-seeking"
"27","fronted",0.131682706,14.78017264,"fronted","info-seeking"
"40","fronted",0.081744573,-5.8121934,"fronted","info-seeking"
"25","fronted",0.136325477,33.82886374,"fronted","info-seeking"
"151","fronted",0.103882325,36.59934037,"fronted","info-seeking"
"35","fronted",0.188106571,-11.15805567,"fronted","info-seeking"
"169","content",0.151400772,34.87303466,"in-situ","info-seeking"
"197","echo",0.33902452,249.4180787,"in-situ","clarification"
"145","fronted",0.13392267,50.16498951,"fronted","info-seeking"
"83","fronted",0.079511319,30.62253743,"fronted","info-seeking"
"104","fronted",0.055385035,29.39639032,"fronted","info-seeking"
"141","fronted",0.156374473,12.28324933,"fronted","info-seeking"
"163","fronted",0.169925141,50.15601388,"fronted","info-seeking"
"146","fronted",0.173210569,-64.73439598,"fronted","info-seeking"
