"","Type","Dur","Delta","Sur","Goal"
"270","fronted",0.132436013,-34.23846258,"fronted","info-seeking"
"321","fronted",0.133461768,38.65298721,"fronted","info-seeking"
"52","fronted",0.119732069,37.19436575,"fronted","info-seeking"
"886","fronted",0.081593108,27.76063613,"fronted","info-seeking"
"1041","fronted",0.163857488,27.34728651,"fronted","info-seeking"
"318","fronted",0.124670396,-71.89172038,"fronted","info-seeking"
"1063","fronted",0.12683052,-10.97691601,"fronted","info-seeking"
"67","fronted",0.209547036,49.85469142,"fronted","info-seeking"
"297","fronted",0.168628526,-1.997151639,"fronted","info-seeking"
"1209","content",0.153762679,5.262094847,"in-situ","info-seeking"
"1026","fronted",0.186323986,16.43024305,"fronted","info-seeking"
"1350","echo",0.254459382,63.35173196,"in-situ","clarification"
"483","fronted",0.021557353,-2.158070724,"fronted","info-seeking"
"660","fronted",0.042898947,-23.18156803,"fronted","info-seeking"
"770","fronted",0.057690349,-61.04886351,"fronted","info-seeking"
"923","fronted",0.038959753,49.21154945,"fronted","info-seeking"
"1329","echo",0.224599737,36.76330086,"in-situ","clarification"
"587","fronted",0.004006335,97.09105699,"fronted","info-seeking"
"992","fronted",0.145833552,30.07599628,"fronted","info-seeking"
"428","fronted",0.11299905,31.51181723,"fronted","info-seeking"
"381","fronted",0.16500242,-26.58410802,"fronted","info-seeking"
"626","fronted",0.092520868,15.41896524,"fronted","info-seeking"
"170","fronted",0.159140453,16.26391375,"fronted","info-seeking"
"308","fronted",0.16780082,-37.11499996,"fronted","info-seeking"
"739","fronted",0.06377517,-35.15047576,"fronted","info-seeking"
"896","fronted",0.143603474,16.1111758,"fronted","info-seeking"
"648","fronted",0.045760776,-13.45039446,"fronted","info-seeking"
"457","fronted",0.176252223,71.45717579,"fronted","info-seeking"
"100","fronted",0.175789119,26.35188155,"fronted","info-seeking"
"88","fronted",0.062297895,-7.817019341,"fronted","info-seeking"
"1229","content",0.229228854,76.71462787,"in-situ","info-seeking"
"130","fronted",0.137769673,-29.55594152,"fronted","info-seeking"
"1111","fronted",0.094739904,31.70515683,"fronted","info-seeking"
"46","fronted",0.163112815,12.14550771,"fronted","info-seeking"
"751","fronted",0.125537542,26.87079366,"fronted","info-seeking"
"49","fronted",0.049537058,34.21681393,"fronted","info-seeking"
"500","fronted",0.10678871,10.24488944,"fronted","info-seeking"
"468","fronted",0.0940186,-38.63030757,"fronted","info-seeking"
"95","fronted",0.141271108,-13.75290214,"fronted","info-seeking"
"1156","fronted",0.152903984,-15.64770424,"fronted","info-seeking"
"474","fronted",0.153692544,-34.2405354,"fronted","info-seeking"
"579","fronted",0.094525161,29.47937932,"fronted","info-seeking"
"581","fronted",0.143273172,11.44456815,"fronted","info-seeking"
"57","fronted",0.151555253,7.785552436,"fronted","info-seeking"
"1271","content",0.151169319,-30.55481552,"in-situ","info-seeking"
"282","fronted",0.188569743,54.96456105,"fronted","info-seeking"
"565","fronted",0.067318513,8.676984365,"fronted","info-seeking"
"80","fronted",0.1091233,19.84620418,"fronted","info-seeking"
"837","fronted",0.133596986,42.9998949,"fronted","info-seeking"
"1132","fronted",0.121797119,33.95635136,"fronted","info-seeking"
"1059","fronted",0.108210924,28.47523163,"fronted","info-seeking"
"546","fronted",0.150455552,-40.65616553,"fronted","info-seeking"
"110","fronted",0.182426556,-34.65209329,"fronted","info-seeking"
"69","fronted",0.123901787,-7.089598835,"fronted","info-seeking"
"490","fronted",0.098323885,28.00334093,"fronted","info-seeking"
"1335","echo",0.345108707,196.8247751,"in-situ","clarification"
"752","fronted",0.132204446,54.18096768,"fronted","info-seeking"
"747","fronted",0.084761221,18.10134708,"fronted","info-seeking"
"920","fronted",0.120959535,16.47141981,"fronted","info-seeking"
"470","fronted",0.131387695,-23.41301632,"fronted","info-seeking"
"265","fronted",0.149506413,31.88590232,"fronted","info-seeking"
"380","fronted",0.163789434,31.45717814,"fronted","info-seeking"
"118","fronted",0.100662074,19.7554127,"fronted","info-seeking"
"1036","fronted",0.06045938,40.64830373,"fronted","info-seeking"
"801","fronted",0.181170951,-23.41693403,"fronted","info-seeking"
"416","fronted",0.092868631,29.5123926,"fronted","info-seeking"
"615","fronted",0.145379861,67.07022724,"fronted","info-seeking"
"1218","content",0.289759421,-61.0467305,"in-situ","info-seeking"
"1370","echo",0.229684003,47.77940608,"in-situ","clarification"
"1224","content",0.185683361,16.54453887,"in-situ","info-seeking"
"942","fronted",0.223529726,15.87025002,"fronted","info-seeking"
"969","fronted",0.050237325,-3.99033407,"fronted","info-seeking"
"803","fronted",0.160843084,57.64865396,"fronted","info-seeking"
"248","fronted",0.008285449,60.92716013,"fronted","info-seeking"
"682","fronted",0.176021612,29.29073176,"fronted","info-seeking"
"994","fronted",0.092223434,10.72852705,"fronted","info-seeking"
"193","fronted",0.090698578,35.65297475,"fronted","info-seeking"
"1328","echo",0.22704714,27.62307401,"in-situ","clarification"
"117","fronted",0.159984319,11.95641071,"fronted","info-seeking"
"632","fronted",0.040014965,-11.25436424,"fronted","info-seeking"
"126","fronted",0.091886789,12.393484,"fronted","info-seeking"
"1044","fronted",0.157796759,35.89935205,"fronted","info-seeking"
"465","fronted",0.111947954,15.5098012,"fronted","info-seeking"
"750","fronted",0.079561932,3.264167796,"fronted","info-seeking"
"374","fronted",0.132482222,-8.428980771,"fronted","info-seeking"
"425","fronted",0.139677959,-22.7772689,"fronted","info-seeking"
"761","fronted",0.171094603,20.40735726,"fronted","info-seeking"
"728","fronted",0.114855573,33.36530627,"fronted","info-seeking"
"977","fronted",0.146533212,17.43998947,"fronted","info-seeking"
"847","fronted",0.130900641,23.79977306,"fronted","info-seeking"
"1201","content",0.247322511,-45.63303307,"in-situ","info-seeking"
"119","fronted",0.193827721,14.47970955,"fronted","info-seeking"
"1311","echo",0.244097054,140.8898189,"in-situ","clarification"
"667","fronted",0.199677195,-28.80934393,"fronted","info-seeking"
"1340","echo",0.160646468,133.2962728,"in-situ","clarification"
"861","fronted",0.111424513,-21.42484343,"fronted","info-seeking"
"890","fronted",0.08260352,39.23759386,"fronted","info-seeking"
"1363","echo",0.26807615,68.57390058,"in-situ","clarification"
"268","fronted",0.040554168,30.76068743,"fronted","info-seeking"
"1195","content",0.213185803,-55.15674429,"in-situ","info-seeking"
"738","fronted",0.101643145,16.59741639,"fronted","info-seeking"
"563","fronted",0.037889674,-88.14298274,"fronted","info-seeking"
"420","fronted",0.208552465,-12.8444662,"fronted","info-seeking"
"273","fronted",0.066981048,2.550657653,"fronted","info-seeking"
"161","fronted",0.139987358,-11.65400897,"fronted","info-seeking"
"296","fronted",0.174941794,-92.96684812,"fronted","info-seeking"
"1180","fronted",0.059575017,37.4368711,"fronted","info-seeking"
"1121","fronted",0.157029815,8.80156346,"fronted","info-seeking"
"631","fronted",0.082666678,-23.68766482,"fronted","info-seeking"
"71","fronted",0.114338658,-24.02307505,"fronted","info-seeking"
"155","fronted",0.144511975,-42.78150806,"fronted","info-seeking"
"889","fronted",0.102581741,3.943549215,"fronted","info-seeking"
"950","fronted",0.163190794,-52.04016905,"fronted","info-seeking"
"1039","fronted",0.098283606,17.06296984,"fronted","info-seeking"
"1175","fronted",0.103940028,-22.46237209,"fronted","info-seeking"
"1058","fronted",0.181554083,-54.25279893,"fronted","info-seeking"
"534","fronted",0.144511936,-6.706515097,"fronted","info-seeking"
"742","fronted",0.17750598,17.8730166,"fronted","info-seeking"
"1242","content",0.204553958,-43.11868484,"in-situ","info-seeking"
"1102","fronted",0.085561559,48.6152903,"fronted","info-seeking"
"765","fronted",0.060011039,-10.60816568,"fronted","info-seeking"
"165","fronted",-0.012824776,71.06638689,"fronted","info-seeking"
"1052","fronted",0.030011091,-30.86101168,"fronted","info-seeking"
"1176","fronted",0.10636905,-14.67099952,"fronted","info-seeking"
"1145","fronted",0.06966081,17.32065072,"fronted","info-seeking"
