"","Type","Dur","Delta","Sur","Goal"
"473","fronted",0.123538541,51.25052994,"fronted","info-seeking"
"741","content",0.144651181,-37.32044198,"in-situ","info-seeking"
"409","fronted",0.113399785,6.54109794,"fronted","info-seeking"
"464","fronted",0.074062534,-4.278397143,"fronted","info-seeking"
"337","fronted",0.12099418,-61.14499273,"fronted","info-seeking"
"800","echo",0.202684776,16.15687958,"in-situ","clarification"
"413","fronted",0.18774367,-37.00034586,"fronted","info-seeking"
"381","fronted",0.239309661,8.051311122,"fronted","info-seeking"
"233","fronted",0.214749826,12.74742803,"fronted","info-seeking"
"416","fronted",0.066787399,-1.891378851,"fronted","info-seeking"
"118","fronted",0.20351988,-58.16310891,"fronted","info-seeking"
"763","echo",0.181393395,165.3183227,"in-situ","clarification"
"199","fronted",0.12429395,-2.455295589,"fronted","info-seeking"
"322","fronted",0.148469584,-22.15401183,"fronted","info-seeking"
"247","fronted",0.134701896,-91.48829966,"fronted","info-seeking"
"259","fronted",0.076099525,23.78092348,"fronted","info-seeking"
"369","fronted",0.155013155,-20.96105847,"fronted","info-seeking"
"678","fronted",0.099479855,38.55532908,"fronted","info-seeking"
"151","fronted",0.166171319,37.52271944,"fronted","info-seeking"
"484","fronted",0.169202489,-62.12921643,"fronted","info-seeking"
"633","fronted",0.077290202,33.94874077,"fronted","info-seeking"
"390","fronted",0.106063812,5.015099746,"fronted","info-seeking"
"3","fronted",0.250464453,-43.80839946,"fronted","info-seeking"
"384","fronted",0.084476939,-19.20782664,"fronted","info-seeking"
"601","fronted",0.158013341,-45.73698035,"fronted","info-seeking"
"13","fronted",0.276945118,-35.28088363,"fronted","info-seeking"
"51","fronted",0.106064011,-28.99203529,"fronted","info-seeking"
"146","fronted",0.125129879,-5.84397381,"fronted","info-seeking"
"666","fronted",0.135527536,-4.548100491,"fronted","info-seeking"
"159","fronted",0.117746139,19.51536532,"fronted","info-seeking"
"428","fronted",0.085833686,60.30265539,"fronted","info-seeking"
"408","fronted",0.10807342,4.167396458,"fronted","info-seeking"
"603","fronted",0.15081875,-62.8238658,"fronted","info-seeking"
"15","fronted",0.187807205,-58.84865453,"fronted","info-seeking"
"569","fronted",0.166181517,21.9482565,"fronted","info-seeking"
"655","fronted",0.162733141,42.13573823,"fronted","info-seeking"
"54","fronted",0.100839015,9.714765344,"fronted","info-seeking"
"205","fronted",0.154503237,-34.12851281,"fronted","info-seeking"
"594","fronted",0.132205929,32.30932825,"fronted","info-seeking"
"31","fronted",0.138208608,3.208924924,"fronted","info-seeking"
"602","fronted",0.139012352,-3.840305518,"fronted","info-seeking"
"59","fronted",0.169395656,-71.92418004,"fronted","info-seeking"
"363","fronted",0.110629937,-34.01469619,"fronted","info-seeking"
"713","content",0.286726768,-56.67525618,"in-situ","info-seeking"
"578","fronted",0.11589377,-2.253124257,"fronted","info-seeking"
"714","content",0.109760208,42.47020951,"in-situ","info-seeking"
"551","fronted",0.100097969,5.242365698,"fronted","info-seeking"
"316","fronted",0.095877065,-65.9698388,"fronted","info-seeking"
"439","fronted",0.118521461,64.78141101,"fronted","info-seeking"
"334","fronted",0.188802885,-40.40371365,"fronted","info-seeking"
"154","fronted",0.087802583,-86.64407,"fronted","info-seeking"
"686","content",0.148279033,-55.36878368,"in-situ","info-seeking"
"7","fronted",0.034805771,5.266379341,"fronted","info-seeking"
"689","content",0.186863817,55.38320014,"in-situ","info-seeking"
"73","fronted",0.050682767,116.9308658,"fronted","info-seeking"
"684","content",0.071999991,8.295300237,"in-situ","info-seeking"
"138","fronted",0.109648561,-2.451273875,"fronted","info-seeking"
"238","fronted",0.108210133,-35.7429376,"fronted","info-seeking"
"123","fronted",0.056562438,42.99615254,"fronted","info-seeking"
"327","fronted",0.172286598,11.19464418,"fronted","info-seeking"
"392","fronted",0.152294016,-41.98501034,"fronted","info-seeking"
"280","fronted",0.08181672,-4.475658355,"fronted","info-seeking"
"492","fronted",0.12951615,8.518025532,"fronted","info-seeking"
"561","fronted",0.159555878,-16.50328918,"fronted","info-seeking"
"312","fronted",0.114108753,30.33337753,"fronted","info-seeking"
"107","fronted",0.141671327,39.87190673,"fronted","info-seeking"
"379","fronted",0.202736934,8.319728685,"fronted","info-seeking"
"744","content",0.245397242,-77.84501851,"in-situ","info-seeking"
"189","fronted",0.161255783,-12.61812175,"fronted","info-seeking"
"400","fronted",0.172209211,2.985247285,"fronted","info-seeking"
"481","fronted",0.162504845,-44.6522278,"fronted","info-seeking"
"679","fronted",0.086764854,-17.0673074,"fronted","info-seeking"
"452","fronted",0.111141498,35.46164833,"fronted","info-seeking"
"194","fronted",0.108356999,-45.87344858,"fronted","info-seeking"
"609","fronted",0.087258122,37.6587816,"fronted","info-seeking"
"292","fronted",0.128053938,-24.82379845,"fronted","info-seeking"
"512","fronted",0.043456325,-9.830738502,"fronted","info-seeking"
"505","fronted",0.175956867,16.78607608,"fronted","info-seeking"
"281","fronted",0.080288549,16.32067764,"fronted","info-seeking"
"530","fronted",0.031472758,33.72383829,"fronted","info-seeking"
"521","fronted",0.14875317,-69.72293145,"fronted","info-seeking"
"447","fronted",0.146551284,-48.64997713,"fronted","info-seeking"
"588","fronted",0.138142163,-69.76030306,"fronted","info-seeking"
"256","fronted",0.091758557,-2.830507886,"fronted","info-seeking"
"527","fronted",0.104615288,5.439379609,"fronted","info-seeking"
"657","fronted",0.063714113,-19.46149587,"fronted","info-seeking"
"590","fronted",0.155421186,67.33082565,"fronted","info-seeking"
"600","fronted",0.121660006,-9.032224063,"fronted","info-seeking"
"72","fronted",0.090013292,38.86995365,"fronted","info-seeking"
"296","fronted",0.113443251,-2.130755464,"fronted","info-seeking"
"790","echo",0.268858646,128.2544538,"in-situ","clarification"
"753","echo",0.176735102,27.64462836,"in-situ","clarification"
"707","content",0.270728678,-2.143675392,"in-situ","info-seeking"
"174","fronted",0.114557752,-18.48942168,"fronted","info-seeking"
"19","fronted",-0.001384384,-9.207482478,"fronted","info-seeking"
"335","fronted",0.096105094,-19.98947366,"fronted","info-seeking"
"241","fronted",0.061779688,19.30109962,"fronted","info-seeking"
"704","content",0.115900371,-111.2855814,"in-situ","info-seeking"
"674","fronted",0.145091955,-67.88235434,"fronted","info-seeking"
"38","fronted",0.072837077,-10.30829172,"fronted","info-seeking"
"131","fronted",0.073846178,-14.27595729,"fronted","info-seeking"
"58","fronted",0.104639769,2.789017628,"fronted","info-seeking"
"295","fronted",0.168636878,23.50704002,"fronted","info-seeking"
"427","fronted",0.117139141,9.471147016,"fronted","info-seeking"
"581","fronted",0.10418604,15.35727409,"fronted","info-seeking"
"271","fronted",0.13441045,-4.223214108,"fronted","info-seeking"
"769","echo",0.309816042,94.40607325,"in-situ","clarification"
"219","fronted",0.111258535,22.9126489,"fronted","info-seeking"
"500","fronted",0.128036745,-13.74327986,"fronted","info-seeking"
"436","fronted",0.235286326,-4.477807225,"fronted","info-seeking"
"117","fronted",0.118830827,7.553652773,"fronted","info-seeking"
"544","fronted",0.231499057,-52.89010486,"fronted","info-seeking"
"217","fronted",0.147473531,6.280014405,"fronted","info-seeking"
"501","fronted",0.177934513,25.64007026,"fronted","info-seeking"
